Symbol,Open,High,Low,Last Traded Price,Change,%Change,Traded Volume(lacs),Traded Value(crs),52 Week High,52 Week Low,365 Days % Change,30 Days % Change
"TATACOMM","612.00","616.90","605.75","611.55","-1.05","-0.17","5.79","35.38","671.00","435.70","-0.84","24.92"
"AXISBANK","733.30","744.90","731.50","731.90","-1.50","-0.20","69.57","514.77","744.90","481.25","40.60","0.85"
"INFY","713.30","718.50","709.60","710.70","-1.65","-0.23","66.05","470.44","772.25","551.00","-38.56","-6.89"
"TECHM","812.00","814.40","803.00","808.20","-3.15","-0.39","18.92","152.97","840.00","603.00","33.10","-0.39"
"ZEEL","458.45","459.90","450.85","453.10","-2.00","-0.44","29.49","134.21","609.75","288.30","-19.59","16.78"
"OFSS","3,465.00","3,470.00","3,425.05","3,434.90","-15.85","-0.46","0.12","4.17","4,658.40","3,321.35","-11.28","-11.46"
"HCLTECH","1,007.00","1,021.75","1,001.00","1,003.05","-6.00","-0.59","16.76","169.57","1,125.05","880.05","5.51","-4.94"
"TATAELXSI","960.90","965.00","947.00","952.35","-5.65","-0.59","4.91","46.77","1,490.90","830.10","-4.95","4.90"
"TCS","2,028.90","2,033.00","2,003.65","2,009.95","-12.75","-0.63","24.30","490.29","3,674.80","1,711.15","-33.09","-3.13"
"BHARATFIN","950.55","958.75","945.25","946.70","-6.65","-0.70","1.93","18.34","1,234.80","823.75","-8.75","-0.28"
"INDUSINDBK","1,520.90","1,524.50","1,502.40","1,503.75","-14.25","-0.94","17.56","265.15","2,038.00","1,333.15","-11.24","-1.46"
"JUSTDIAL","556.90","565.90","550.05","555.50","-6.60","-1.17","19.50","108.77","638.30","358.00","27.15","15.14"
"KAJARIACER","569.50","571.75","558.25","559.00","-7.10","-1.25","1.69","9.56","596.70","310.00","0.98","1.80"
"HEXAWARE","346.10","348.10","337.25","340.05","-6.00","-1.73","8.80","30.18","557.70","294.30","-5.11","-6.02"
"DHFL","138.15","139.30","130.75","132.10","-7.75","-5.54","172.48","230.86","691.50","96.80","-73.28","10.68"

